Gene_Symbol	Gene_ID
GLIS3-AS1	84850
UNQ6494	100129066
OR6T1	219874
ASRT6	100188840
IGLVIVOR22-2	84087
L3MBTL2	83746
MIR4717	100616241
HERC3	8916
MIR96	407053
SNAI2	6591
HMG20A	10363
CD200R1	131450
FAM91A1	157769
SAE1	10055
TSNARE1	203062
MIR5695	100847016
SMIM24	284422
CEP83	51134
MRT19	100852395
CTPS2	56474
OR4D2	124538
MYL5	4636
STX3	6809
ST6GALNAC1	55808
PATE1	160065
TMSB4XP3	100873877
JSRP1	126306
DFNA18	85507
IGHVIII-2-1	28355
MMP11	4320
FSIP1	161835
BASP1	10409
DEL13Q14	100653382
PPIL2	23759
S100G	795
TRAJ28	28727
DDX11-AS1	100506660
LARP1	23367
IQGAP2	10788
PIK3AP1	118788
TPD52L1	7164
RSL24D1	51187
DCDC5	100506627
MIR4719	100616172
PPR1	100528023
ZNF100	163227
MIR217	406999
NAP1L2	4674
APOA2	336
LOC728975	728975
MIR4526	100616130
ZNF19	7567
CCDC108	255101
HT	140805
EEF1B2P4	100130631
ADPRHL1	113622
SSR3	6747
HYSP3	100689211
MRGPRX4	117196
CAPN7	23473
CXCR6	10663
ITFG2	55846
L1TD1	54596
CDRT15P1	94158
TRAV26-2	28656
MSD	4434
PCSK2	5126
HAB1	55547
SNORD113-3	767563
TRA2B	6434
MIR3141	100422950
PSPC1P1	642395
TMEM106C	79022
PPM1F	9647
ESRRA	2101
TMPRSS4	56649
SNORD116-15	100033427
OR4K14	122740
VDAC2P1	54015
ARHGEF19-AS1	100874233
IGHV1-58	28464
UBR4	23352
PIDD	55367
LYN	4067
NOL11	25926
LNPEP	4012
ZNF73	7624
LOC644215	644215
LONP1	9361
STK24	8428
LOC100287632	100287632
HNRNPA3P1	10151
DNAJC4	3338
UTS2B	257313
LINC00965	349196
CASKIN1	57524
SSR1P1	100420476
SYNSTH	100301527
BCC2	100307119
S100A1	6271
PRR14L	253143
MIR3177	100423012
MHB	619511
OR2W6P	81406
MIR3689E	100616460
MBD3L1	85509
TRBV14	28573
RPL21P53	653156
MERTK	10461
DNAJA1P3	644588
RANBP9	10048
CACNA1D	776
TMEM218	219854
VUR6	100820763
SH3BGRL3	83442
SNTB1	6641
CBWD2	150472
C10ORF40	283025
AP4B1-AS1	100287722
OSER1-AS1	100505783
NME9	347736
LOC101929701	101929701
TMIGD2	126259
SPOCK1	6695
TPR	7175
ZIC4-AS1	100873950
MRPL50	54534
C1ORF131	128061
USO1	8615
SNX32	254122
MMS22L	253714
FAM71F1	84691
RNU2-4P	26853
MIR378E	100616498
FAM133B	257415
CISD3	284106
AP3M2	10947
RPSAP20	127406
OR4F15	390649
DBIL5P	100131454
SNORD115-43	100033817
SLC25A31	83447
AGFG2	3268
IGHMBP2	3508
AGMO	392636
LOC100996763	100996763
GATA4	2626
LYZL1	84569
TM4SF18	116441
SUSD4	55061
YARS2	51067
SLC15A3	51296
CNOT8	9337
CCL3L1	6349
DCT	1638
TMEM95	339168
PRAMEF22	653606
CRYGC	1420
BAIAP2L2	80115
RNPS1P1	643446
C22ORF31	25770
KCNJ10	3766
SCD5	79966
ENPP1	5167
LOC646517	646517
YPEL1	29799
CBR4	84869
LINC01186	101927574
MIR1275	100302123
HIST2H2BA	337875
LSMEM2	132228
LOC100128075	100128075
RCC2P5	100131442
ECTD5	101101769
UPK2	7379
FNTAP1	283226
RET	5979
SEC11B	157708
OR2A42	402317
OR4F2P	390028
BDH1	622
ALG1L14P	100996649
PTMAP4	5761
MIR3173	100422981
OR7A17	26333
OR8S21P	403304
SNRPGP2	100130003
MASTL	84930
EIF4EBP1P2	768328
SGPP1	81537
NPIPB9	100507607
SCN4B	6330
SIRT7	51547
RPSAP2	442181
NPY6R	4888
LOC101928885	101928885
LINC01207	100505989
KRT17P3	729682
C5ORF30	90355
LINC00309	150992
ISCA1P4	100128012
TSPAN7	7102
PCAP	7834
OR6M3P	79321
MELK	9833
HMGB3P1	128872
MED29	55588
IFNWP2	646581
LZIC	84328
NDFIP2	54602
ALPK2	115701
MTFP1	51537
RPS26P35	441377
TOMM20	9804
DRAP1	10589
KMT2D	8085
KIAA1257	57501
MR1P1	100129575
CELIAC7	100301522
PFKFB2	5208
AMCX5	619510
ACTN4P2	391026
FAM66B	100128890
CD3D	915
PHBP3	391044
C6ORF47	57827
NAA38	84316
LDHAP1	3940
CTD-2194D22.4	101929081
LOC100509764	100509764
EGFL7	51162
LOC727983	727983
CPO	130749
CDR2	1039
BTG4	54766
ANKRD13C	81573
PLSCR1	5359
CHGA	1113
MIR124-3	406909
KIAA0125P2	654499
LRRC16B	90668
ZNF90	7643
TRIM59	286827
HECW2	57520
PARS2	25973
FLJ32790	642696
DAXX	1616
MIR4449	100616436
OSGEP	55644
RNU6-7	101954275
BRD8	10902
TAP2	6891
RGS21	431704
MAT2B	27430
IDDM11	3410
MALL	7851
ZDHHC20P4	730239
POU1F1	5449
LINC00622	644242
MARVELD2	153562
RAB11A	8766
MIR5590	100847069
DEL15Q26QTER	100271921
FAM106A	80039
LINC01370	100505663
FBXO39	162517
GCCD3	619477
UGT8	7368
ZNF337	26152
MRPS16	51021
C17ORF59	54785
LINC00352	100874138
ZBTB8OSP2	729898
OR12D1	26530
UNC5C	8633
KRT126P	643865
NUPL1	9818
SCGB3A1	92304
PAX5	5079
CELA3B	23436
IGJ	3512
CLEC17A	388512
SNORD114-6	767582
G3BP2	9908
RPL13AP	387043
FAM160A2	84067
POC1B	282809
SNORD116-26	100033438
LOC646999	646999
ISCA1	81689
CTNNA2	1496
CXXC4	80319
EAF1-AS1	100873956
CEP135	9662
PFM3	619475
MIR191	406966
KLF3-AS1	79667
TRNE	4556
LOC283214	283214
HAX1	10456
HNRNPA1P52	645001
LMO3	55885
LOC554206	554206
CLEC11A	6320
CDC42BPB	9578
UGT2B28	54490
DDOST	1650
PVALB	5816
POLR2CP	54038
MINOS1	440574
SEZ6L	23544
ZNF667-AS1	100128252
CEP164	22897
LOC145474	145474
RASSF6	166824
CALM2P2	806
JAG2	3714
PLXDC1	57125
HIST2H3D	653604
IGHV3-73	28409
VUR7	102095631
PRSS50	29122
PTMAP3	5760
TMSB4XP1	7115
MED16	10025
ST13P16	100422605
CD48	962
PRR3	80742
RPY	79051
RPN1	6184
PRIMPOL	201973
ZFYVE9P1	100289259
ALG1L3P	100132066
UNC13C	440279
CT47B1	643311
METTL16	79066
AK4P3	645619
HSPA12B	116835
RBM12	10137
MILR1	284021
SNORD23	692091
LINC00571	100874188
KRT81	3887
KLK6	5653
GPR21	2844
MIR1256	100302155
KAZA1	387582
CYB561D2	11068
BMND13	100294717
SF3B6	51639
DFNB71	100302513
DYNLT1	6993
ST13P5	144106
FLJ44635	392490
SLC20A2	6575
CASKP1	10029
CPVL	54504
GID8	54994
PHC1P1	653441
PRKY	5616
SPRN	503542
CLIC3	9022
TRGV11	6985
NEBL	10529
NAIF1	203245
FAM206A	54942
EFS	10278
NAV2-AS2	100874014
GK-AS1	100873902
HNRNPA3P11	100421431
GLRX	2745
CNN2P6	339897
LOC100127910	100127910
NMU	10874
MAGIX	79917
HNRNPLL	92906
SNTA1	6640
RPL17P43	729259
GPR75	10936
NBPF11	200030
ING2	3622
ATP6V1F	9296
ERVMER61-1	339476
BTF3P8	652961
LOC729950	729950
MIR1193	100422837
MEGF9	1955
OSGEPL1-AS1	101409258
YAP1P1	442266
MIR4766	100616283
MPVQTL4	100887753
FTH1P12	2504
MIR378G	100616321
GPC4	2239
ADARB2	105
SRP9P1	653226
CCDC120	90060
PEG3	5178
MAPK12	6300
CNGA1	1259
PRR20D	729246
ESRRAP2	144832
ECH1	1891
HYT2	50986
PTPRG	5793
IBD27	100302059
LOC439994	439994
PELI1	57162
TSSC1	7260
SYT15	83849
PARP6	56965
RALB	5899
MPPED2	744
GOLPH3	64083
PP7080	25845
DNM1P32	100132100
RPL29P22	100271472
SOX6	55553
EEF1A1P29	100130211
IGKV2-38	28917
RNA5SP343	100873605
TP53TG1	11257
OC90	729330
IL13	3596
LTB4R2	56413
PRC1-AS1	100507118
RPS12P28	100271553
KIAA1377	57562
CTSLP2	1517
CYSTM1	84418
ETL2	619399
ADAM20P1	317760
LOC100128857	100128857
TSNAXIP1	55815
ZFRP1	100129438
ANAPC15	25906
NMNAT1	64802
ZDHHC20P1	100048907
WNT9B	7484
PRKAB1	5564
CCER1	196477
LOC100129297	100129297
C1ORF194	127003
KRT18P41	345430
POM121	9883
ANIB2	449013
DIAPH1	1729
GOLGA8R	101059918
CLCNKA	1187
NTF4	4909
RPL21P45	727821
C7ORF33	202865
C3ORF36	80111
DAOA-AS1	282706
KIF19	124602
VAC14	55697
HARBI1	283254
UPP2	151531
PLAC4	191585
PRR20A	122183
TLL2	7093
FAM64A	54478
AK3P2	100419074
LOC101928392	101928392
OTOGL	283310
IGHV3-71	28411
ULK4	54986
ADAM5	255926
MYADM	91663
LINC00551	283483
CBY1	25776
CHM	1121
PGAM1P2	392310
HCG19P	414776
MIR5694	100847064
KRTAP1-5	83895
PMS2CL	441194
STON1	11037
STAG3L3	442578
COLEC11	78989
EMC6	83460
RPL13AP3	645683
TCEAL8	90843
GSK3B	2932
LOC100507420	100507420
TMEM225	338661
G2E3	55632
ACVR1B	91
SRMS	6725
TAAR8	83551
SCN11A	11280
IQCB2P	340192
ENO3	2027
MIR4420	100616164
CUL7	9820
REXO1L6P	441362
ENPP6	133121
POLK	51426
RPS4XP5	100271132
ATP5F1P6	645440
PIWIL1	9271
C7ORF31	136895
POM121B	100288540
HPDL	84842
RNU5A-6P	100873871
DENND1A	57706
ENG	2022
LOC100505878	100505878
NREP-AS1	100873948
ABHD2	11057
C17ORF103	256302
MLN	4295
RNF10P1	100419599
SPATC1	375686
TREML3P	340206
KRT5	3852
DRP2	1821
B3GNT4	79369
RPS20P32	100129306
MIR3972	100616188
YES1	7525
RDH10	157506
MIR3179-2	100422886
ANKS1B	56899
YTHDF3-AS1	101410533
AZI2	64343
CCNYL2	414194
LINC01138	388685
SEMA6A-AS1	101927233
SNORD9	692053
SPON1	10418
RPL5P3	400385
GATC	283459
MTND1P23	100887749
CIDEB	27141
LOC100144595	100144595
METTL24	728464
RPS27P22	100131418
DHX58	79132
SULT1D1P	133150
PPIAP33	392285
LOC127011	127011
LOC442446	442446
MXRA7	439921
C15ORF40	123207
CTC-338M12.4	101928649
EIF3FP3	339799
MTRF1	9617
CHIC1	53344
ADAM20P3	644325
HMGN1	3150
NAT16	375607
SNRPGP4	100130368
NPM1P40	100289584
RPL19	6143
TMEM125	128218
OR5B21	219968
PPIAL4B	653505
EEF1A1P36	100421820
GALNTL6	442117
GABRA5	2558
MIR4523	100616122
RBP1	5947
RNA5SP289	100873542
ZNF674-AS1	401588
RNU6-1	26827
LOC647654	647654
SLC11A1	6556
KRT18P44	139748
RPL37A	6168
CPNE2	221184
RPL34P1	26514
HBBP1	3044
UBE2U	148581
RAD51L3-RFFL	100529207
LOC100506504	100506504
EEF1E1-BLOC1S5	100526837
RBMXL3	139804
RNA5SP85	100873318
CASC10	399726
ACP5	54
FAAH	2166
DEFB126	81623
PDE8A	5151
HIST1H4C	8364
DGKH	160851
HOXA11-AS	221883
CD207	50489
MIR4710	100616300
GUCA2B	2981
LINC00575	439934
THNSL1	79896
FAM19A3	284467
BEND7	222389
EIF4B	1975
AEBP2	121536
CUL2	8453
SLC4A1	6521
FAM184B	27146
ZNF404	342908
STK40	83931
MED6P1	100128990
LY6G6C	80740
CTGLF10P	653234
MIR4521	100616406
LEFTY2	7044
MIR548AG1	100616450
LOC644189	644189
PMF1-BGLAP	100527963
CENPJ	55835
CRYGS	1427
SMC5-AS1	100507299
PPP1CB	5500
EIF2A	83939
RNU6-34P	100873749
PAQR7	164091
OR2T8	343172
CNR2	1269
CTBP2	1488
GMFG	9535
MIR935	100126325
RPL31P11	641311
MAN2A2	4122
CWC15	51503
RPL24	6152
LIMK2	3985
APC	324
PRDM16	63976
BAK1	578
LOC642515	642515
IRGQ	126298
SPAM1	6677
R3HDM2	22864
STRA8	346673
DELXP22.11	100529118
RPL7L1	285855
CADPS	8618
MIR3672	100500869
LOC101929615	101929615
MIR4746	100616371
CATSPER2P1	440278
MIR570	693155
CT47A9	728042
FBXO25	26260
GNG5	2787
GBP1	2633
FP2234	100507137
RPL3P4	326307
MIR5700	100847031
FECD2	100188278
TIMD4	91937
RNA5SP474	100873716
LRRC37A16P	651250
LUC7L3	51747
MIR933	100126350
PRKCQ	5588
PFKP	5214
IFLTD1	160492
SMURF2	64750
ATXN7L2	127002
TMLHE-AS1	100507404
LOC645553	645553
MIR4287	100422828
BMND6	100188797
HLA-F-AS1	285830
CCDC130	81576
COX8A	1351
OR7E24	26648
CTAGE10P	220429
LOC100287825	100287825
DOK7	285489
SLC25A5P8	392301
DYT13	93983
LOC102724862	102724862
SPHK2	56848
RBMY2GP	378952
FUK	197258
ABCC5-AS1	100873982
FLJ46365	401459
HLA-DRB7	3129
MTF1	4520
LOC100127909	100127909
MAVS	57506
SNORA10	574042
OR4N3P	390539
RPS2P39	100271244
HSBP1L1	440498
TPTE2P1	646405
MYH6	4624
AKR1C3	8644
C1D	10438
LOC440040	440040
ZNF550	162972
LOC100287837	100287837
RBFADN	100506070
RNA5SP496	100873738
ETV7	51513
MIR5701-1	100847060
SPATA7	55812
LMOD3	56203
HNRNPA3P7	100421357
RPL23AP46	442260
HLCS	3141
IPP	3652
LOC401324	401324
SLC26A10	65012
WDR25	79446
RC3H1	149041
CRHR1-IT1	147081
DNAJC22	79962
PRDX5	25824
HMGB3P32	100507549
ATXN3	4287
MRPL22P1	359738
MIR644A	693229
TC2N	123036
C2ORF81	388963
DSTNP1	387492
C17ORF49	124944
TPGS2	25941
LECD	100302509
SOX21	11166
SNX19P1	378810
SRGAP3	9901
AMN1	196394
GHS	7971
WTAPP1	100288077
RAC1P5	402183
MRPL57P7	359731
FLJ39080	441355
LCE2C	353140
ACTBP1	643309
MAGI2-AS2	100874021
CRCT1	54544
TAS2R4	50832
SLC25A51P2	645423
ZNF384	171017
IHG1	3548
HPS3	84343
PIGFP2	100422349
ATF4P4	100127952
C4ORF19	55286
RRBP1	6238
MGC34796	414927
CCDC59	29080
MRT31	100852399
KIAA1324	57535
RPL22P18	100271290
FAM161A	84140
LOC100287934	100287934
ACER2	340485
COPB2	9276
MIR3167	100422918
MYH15	22989
COX6CP1	9384
LOC342541	342541
HSPA9P1	266724
TECRL	253017
ZSCAN32	54925
PLCXD2-AS1	100874115
C1ORF94	84970
MIR586	693171
RNA5SP159	100873425
MIR1228	100302201
RAB3A	5864
EEF1A1P19	100421796
PRAMEF20	645425
STRA13	201254
EBF4	57593
KCNJ11	3767
LINC00365	100874146
LOC644422	644422
MIR526B	574468
C1ORF21	81563
SGPL1	8879
SERBP1P3	553148
SNORD114-25	767605
TRABD	80305
LINC00518	221718
LOC101927844	101927844
CD53	963
CYP4F29P	54055
METTL2A	339175
SRRM2	23524
FAM173B	134145
LOC283332	283332
MRGPRG-AS1	283303
MIR1249	100302149
OR2L6P	81465
LOC100506248	100506248
VN2R10P	100033398
ABCF3	55324
TMEM256P1	645269
LOC286161	286161
IGLVVII-41-1	84089
C6ORF15	29113
CTR9	9646
EDRF1	26098
SPCS3	60559
FERMT1	55612
QRSL1P1	730016
TRIM63	84676
TAS2R63P	338413
CCDC125	202243
VWFP1	7451
LCA10	643736
LINC00614	645587
DLG2	1740
UQCRHL	440567
NTMT1	28989
SEPHS1P7	391428
POLD4	57804
OR10G7	390265
KCNC3	3748
LOC100505795	100505795
PGAP3	93210
DIABLO	56616
CCND3	896
P2RX4	5025
FAM71A	149647
CHAC2	494143
C2ORF78	388960
TBC1D3	729873
DAPL1	92196
ZSWIM7	125150
LIMD1	8994
CPHL1P	389160
LOC728100	728100
LIN28AP1	129402
ARMC9	80210
SPOAN	619394
INPP5A	3632
LOC652119	652119
UBE3A	7337
LOC101926964	101926964
NAV3	89795
C17ORF104	284071
FPR2	2358
PGM3	5238
LOC100130691	100130691
SCARNA21	677763
YIF1B	90522
ZCCHC7	84186
SART1	9092
EXOC5	10640
EEF1A1P6	221838
DNAH2	146754
YWHAEP7	284100
MTCH2	23788
OR2K2	26248
CCL23	6368
TRBV2	28620
LOC101929773	101929773
ZNF541	84215
RPS3AP14	729150
KLF3	51274
BZW1P2	151579
THUMPD1	55623
CDC14C	168448
PRR23C	389152
DEFB127	140850
DEFB123	245936
IMMP2L	83943
LINC01127	100506328
ATP11A-AS1	100874205
CAMKMT	79823
SMAD2	4087
LLPH	84298
RGL1	23179
ALX4	60529
PDE6B	5158
GLC1M	777643
UNC93A	54346
FNDC4	64838
REEP6	92840
CDKN2B	1030
EIF3M	10480
RAPGEF3	10411
MAGI2-AS3	100505881
ARHGAP15	55843
HLA-DQB3	3121
PPIL1P1	150947
SLC17A3	10786
LOC100507661	100507661
SH2D4A	63898
YWHAZP5	86123
PLEK2	26499
CGB	1082
DHX9	1660
SSU72P1	286528
ERICH6B	220081
FLT3	2322
KCND3-IT1	100874295
LOC400997	400997
LOC100288367	100288367
LOC100996792	100996792
ENDOD1	23052
H1FNT	341567
COL24A1	255631
RIN3	79890
KRT18P4	391256
FAM187B	148109
LMCD1-AS1	100288428
TRNR	4573
CERKL	375298
XKRY2	353515
MECOM	2122
CR2	1380
MIR553	693138
DEL19P13.13	100526791
ARFGEF1	10565
MIR194-1	406969
FGS5	780900
MTERF3	51001
FAM83E	54854
SUPT16H	11198
SLC29A1	2030
LOC400590	400590
KRTAP5-8	57830
DGKZ	8525
TGM4	7047
GNA15	2769
ACSM2A	123876
SREK1	140890
LRRC72	100506049
DNTTIP1	116092
KRT38	8687
PARVG	64098
STAU1	6780
FRMD5	84978
LOC100131482	100131482
PIH1D1	55011
SNORD109B	338429
LOC102724465	102724465
SMAD9-IT1	100874072
MSC	9242
LINC00866	100505561
LOC100506114	100506114
MBD3L5	284428
CTDP1	9150
ZAR1L	646799
PWRN1	791114
TRGC1	6966
TYRO3	7301
SCA18	94008
PDCL3P6	100419023
DNAJC19P8	100861455
LOC101927156	101927156
LINC01344	400799
KIAA0922	23240
MTIF2	4528
LINC00298	339788
LOC100506098	100506098
AP2B1	163
LINC00885	401109
SNORD115-30	100033804
CRACR2B	283229
ANP32A	8125
LOC100996809	100996809
NAGPA	51172
SRMP1	170552
PRDM9	56979
HSP90AB2P	391634
CDH24	64403
FBXW7	55294
SYNGR1	9145
PRDM10	56980
NUP153	9972
SNORA37	677819
AIP	9049
SSB	6741
VN2R1P	344760
C8A	731
MCPH1	79648
ZNF37A	7587
RBMS1P1	5938
MDK	4192
LBMQTL1	100294719
IGHV3-52	28421
AMACR	23600
LOC401242	401242
DNAJC3	5611
SERPINB7	8710
TMEM8A	58986
ZNF639	51193
D6S207E	7921
RPSAP52	204010
GUCA1C	9626
MRS2	57380
COL4A1	1282
ANKHD1	54882
PAFAH2	5051
COMMD3	23412
SNRPN	6638
OXCT1-AS1	100874002
MYOG	4656
TTBK1	84630
COBLL1	22837
GAPDHP63	442231
TRBV4-1	28617
MIR4660	100616350
FAM25BP	100132929
MEOX1	4222
SMG1P5	595101
AP4B1	10717
OR6C68	403284
SEC23A	10484
OR51A7	119687
PUM2	23369
BMIQ13	100233157
MIR4770	100616373
GPR50	9248
LINC01141	339505
HTT	3064
PARP1P1	144
SRSF5	6430
PARD6A	50855
DMXL1	1657
MIR21	406991
SNX18	112574
HWE2	100415904
RPS27L	51065
PDGFRL	5157
GABRA2	2555
FLJ41170	440200
PPFIBP2	8495
CDAN3	981
C10ORF90	118611
BNC1	646
KIAA1671	85379
TRAF3IP1	26146
USH2A	7399
KIRREL2	84063
LINC00943	100507206
LOC100130111	100130111
PHLDB1	23187
METTL23	124512
EPHX1	2052
TRGJP1	6971
GSK3A	2931
STYK1	55359
CYB5AP5	100289051
ADORA2B	136
CCDC138	165055
C22ORF23	84645
LOC100506403	100506403
DPPA2P1	100421137
PPIL1	51645
SPG11	80208
KRT8P25	402134
GSTM3P1	170523
DDTL	100037417
LPCAT2	54947
AFF4	27125
RSBN1L	222194
DCUN1D4	23142
SNORD114-24	767604
PKD1	5310
PRR7-AS1	340037
ZNF408	79797
REV3L	5980
CDH12P4	100093626
USP25	29761
HNRNPA1P4	389674
RPS6P21	100271263
PTGER4	5734
FTH1P22	100462772
ADHD5	100190790
LOC101060835	101060835
SHCBP1L	81626
LOC100131373	100131373
GTF2IRD2P1	401375
LINC00266-4P	100642176
LOC100507258	100507258
HDGFL1	154150
LOC102724985	102724985
UROC1	131669
LINC00381	100874151
TDH	157739
SETP1	100133314
KTCN2	450092
WDR89	112840
ZNF638-IT1	100507113
LINC01197	400456
C6ORF226	441150
HOTTIP	100316868
PRKD2	25865
FAM207A	85395
CKB	1152
KCNAB2	8514
MAL2	114569
STEAP1	26872
PDZD11	51248
SNORD56B	319139
USP8	9101
TRGV4	6977
C9ORF116	138162
PMCHL1	5369
NARS2	79731
SNORD59B	692090
NPM1P19	10828
MIR4778	100616464
SNHG19	100507303
DFNA57	100093632
CEPT1	10390
CLPP	8192
OR10D3	26497
OLA1P3	101060020
LOC645529	645529
RPS7P2	100270868
XKRYP5	379032
FGD3	89846
SF3B4	10262
MIR382	494331
NALCN-AS1	100885778
CIAPIN1	57019
AKAP17A	8227
RNA5SP481	100873723
AP3M1	26985
CIR1	9541
MAGED4B	81557
DOC2B	8447
GJA8	2703
KRTAP15-1	254950
ATP6V0E1P3	100133262
DHRS4	10901
LAD1	3898
DKK1	22943
RLS1	192142
SPATA8-AS1	100652749
RAB42P1	646996
EMILIN1	11117
ATP6V0B	533
FLJ23867	200058
KIF26A	26153
NIP7P2	646392
RPL7	6129
PCOLCE	5118
C14ORF182	283551
ZNF718	255403
LOC100289511	100289511
MIR1255B1	100313806
OR1G1	8390
HIGD1AP1	100129086
ENPP7P11	100421806
SNORD118	727676
XKR4	114786
TRAV23DV6	28660
FRG1	2483
CBLN3	643866
SLC43A1	8501
BACH1-IT3	54147
NKX2-4	644524
ANKH	56172
MAGEB1	4112
FBXO28	23219
PRSS30P	124221
CLTA	1211
GOLGA6L6	727832
NSUN5	55695
ST13P21	642818
PLCD1	5333
SAMD11P1	100421331
LOC345051	345051
C19ORF18	147685
NUTM2HP	729023
NPPA	4878
RNA5SP160	100873426
PRKCDBP	112464
C21ORF59	56683
FAM205CP	100129969
APOBR	55911
LOC100508781	100508781
PTMAP1	5758
DEL2Q31	100192308
PDCL3P4	285359
CTGF	1490
RPL11	6135
LDHAL6DP	100420508
SPAG17	200162
PNPLA10P	643773
RPS2P31	392781
LOC283693	283693
CMSS1	84319
GOLGA6L5P	374650
TOMM22	56993
ANGPTL2	23452
SPIN2A	54466
MRM1	79922
TSG101	7251
SLC25A51P3	100128119
LOC643072	643072
TRG-AS1	100506776
GOT2P1	645538
ODAM	54959
SMAD6	4091
RCD1	5953
SPATA31E1	286234
LOC101929601	101929601
RNU6-10P	100873745
C2CD4C	126567
PHGR1	644844
MIR599	693184
FAM136BP	387071
RNU4-8P	6070
HADHB	3032
DOCK4-AS1	100506413
RPL30P8	100132053
ENKD1	84080
UACA	55075
GAPDHP20	343338
COMMD10	51397
MYCBP2-AS2	100874213
CHDT3	101154642
DUSP3	1845
RAB15	376267
LOC644838	644838
SCA20	407973
KCNK12	56660
MIR4300	100422823
TCEB1P20	100287778
EEF1A1P11	440595
PIR-FIGF	100532742
MIR4663	100616260
H2AFZP1	54049
PRAMENP	649179
MYOM1	8736
OFD1	8481
DGCR	1714
ZBTB20-AS2	100506673
MIR548I4	100302191
HDHD3	81932
PRINS	100169750
LOC51145	51145
PFN1P11	100873784
LOC100289650	100289650
KLHL8	57563
SLC22A24	283238
TPT1	7178
SH3RF1	57630
SNTN	132203
ZSCAN9	7746
ERC2	26059
LGR6	59352
HCRT	3060
GTF3C2	2976
ERGIC2	51290
MAGEA10-MAGEA5	100533997
TRIM39	56658
SCA19	140452
CDRT15	146822
RPL5P22	389644
NANOGP4	414132
GTF2F2P2	728633
HMG20B	10362
LINC01003	100128822
RNA5SP390	100873643
SMC4	10051
PCNPP4	100874220
LOC647323	647323
TRAF3IP3	80342
TMEM114	283953
PPARGC1A	10891
MIR1233-2	100422845
S100PBP	64766
DDU	29764
MYLK	4638
SDHB	6390
U2SURP	23350
NR4A2	4929
ABCB1	5243
LOC730236	730236
LOC100128276	100128276
KRT3	3850
CMM	1243
MIR2053	100302225
OR7E136P	155340
RPL21P43	100271163
SMARCB1	6598
SLC39A12	221074
TRBVA	28556
E2F5	1875
LOC100507437	100507437
