abbreviation	name	path
hugenavigator	HuGE Navigator Gene-Phenotype Associations	C:/Users/ar988996/Documents/Harmonizome/datasets/hugenavigator/gene_attribute_matrix.txt.gz
humancyc	HumanCyc Pathways	C:/Users/ar988996/Documents/Harmonizome/datasets/humancyc/gene_attribute_matrix.txt.gz
intact	IntAct Biomolecular Interactions	C:/Users/ar988996/Documents/Harmonizome/datasets/intact/gene_attribute_matrix.txt.gz
interpro	InterPro Predicted Protein Domain Annotations	C:/Users/ar988996/Documents/Harmonizome/datasets/interpro/gene_attribute_matrix.txt.gz
jasparpwm	JASPAR Predicted Transcription Factor Targets	C:/Users/ar988996/Documents/Harmonizome/datasets/jasparpwm/gene_attribute_matrix.txt.gz
jensencompartmentcurated_cleaned	COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/jensencompartmentcurated/gene_attribute_matrix_cleaned.txt.gz
jensencompartmentexpts_cleaned	COMPARTMENTS Experimental Protein Localization Evidence Scores - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/jensencompartmentexpts/gene_attribute_matrix_cleaned.txt.gz
jensencompartmenttextmining_cleaned	COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/jensencompartmenttextmining/gene_attribute_matrix_cleaned.txt.gz
jensendiseasecurated	DISEASES Curated Gene-Disease Assocation Evidence Scores	C:/Users/ar988996/Documents/Harmonizome/datasets/jensendiseasecurated/gene_attribute_matrix.txt.gz
jensendiseaseexpts_cleaned	DISEASES Experimental Gene-Disease Assocation Evidence Scores - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/jensendiseaseexpts/gene_attribute_matrix_cleaned.txt.gz
jensendiseasetextmining_cleaned	DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/jensendiseasetextmining/gene_attribute_matrix_cleaned.txt.gz
jensentissuecurated	TISSUES Curated Tissue Protein Expression Evidence Scores	C:/Users/ar988996/Documents/Harmonizome/datasets/jensentissuecurated/gene_attribute_matrix.txt.gz
jensentissueexpts_cleaned	TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/jensentissueexpts/gene_attribute_matrix_cleaned.txt.gz
jensentissuetextmining_cleaned	TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/jensentissuetextmining/gene_attribute_matrix_cleaned.txt.gz
kegg	KEGG Pathways	C:/Users/ar988996/Documents/Harmonizome/datasets/kegg/gene_attribute_matrix.txt.gz
kinativ_cleaned	Kinativ Kinase Inhibitor Bioactivity Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/kinativ/gene_attribute_matrix_cleaned.txt.gz
kinomescan_cleaned	KinomeScan Kinase Inhibitor Targets - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/kinomescan/gene_attribute_matrix_cleaned.txt.gz
locate	LOCATE Curated Protein Localization Annotations	C:/Users/ar988996/Documents/Harmonizome/datasets/locate/gene_attribute_matrix.txt.gz
locatepredicted	LOCATE Predicted Protein Localization Annotations	C:/Users/ar988996/Documents/Harmonizome/datasets/locatepredicted/gene_attribute_matrix.txt.gz
mgimpo	MPO Gene-Phenotype Associations	C:/Users/ar988996/Documents/Harmonizome/datasets/mgimpo/gene_attribute_matrix.txt.gz
mirtarbase	MiRTarBase microRNA Targets	C:/Users/ar988996/Documents/Harmonizome/datasets/mirtarbase/gene_attribute_matrix.txt.gz
msigdbcomp	MSigDB Cancer Gene Co-expression Modules	C:/Users/ar988996/Documents/Harmonizome/datasets/msigdbcomp/gene_attribute_matrix.txt.gz
nursa	NURSA Protein Complexes	C:/Users/ar988996/Documents/Harmonizome/datasets/nursa/gene_attribute_matrix.txt.gz
omim	OMIM Gene-Disease Associations	C:/Users/ar988996/Documents/Harmonizome/datasets/omim/gene_attribute_matrix.txt.gz
panther	PANTHER Pathways	C:/Users/ar988996/Documents/Harmonizome/datasets/panther/gene_attribute_matrix.txt.gz
proteomicsdb_cleaned	ProteomicsDB Cell Type and Tissue Protein Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/proteomicsdb/gene_attribute_matrix_cleaned.txt.gz
reactome	Reactome Pathways	C:/Users/ar988996/Documents/Harmonizome/datasets/reactome/gene_attribute_matrix.txt.gz
targetscan_cleaned	TargetScan Predicted Conserved microRNA Targets - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/targetscan/gene_attribute_matrix_cleaned.txt.gz
targetscannonconserved_cleaned	TargetScan Predicted Nonconserved microRNA Targets - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/targetscannonconserved/gene_attribute_matrix_cleaned.txt.gz
virusmint	Virus MINT Protein-Virus Interactions	C:/Users/ar988996/Documents/Harmonizome/datasets/virusmint/gene_attribute_matrix.txt.gz
virusmintppi	Virus MINT Protein-Viral Protein Interactions	C:/Users/ar988996/Documents/Harmonizome/datasets/virusmintppi/gene_attribute_matrix.txt.gz
wikipathways	Wikipathways Pathways	C:/Users/ar988996/Documents/Harmonizome/datasets/wikipathways/gene_attribute_matrix.txt.gz
